No,都道,自治体名等,ふりがな
291,兵庫,新温泉町,しんおんせんまち
292,千葉,東庄町,とうのしょうまち
293,岡山,美咲町,みさきまち
294,徳島,板野町,いたのまち
295,山形,遊佐町,ゆざまち
296,大阪,太子町,たいしまち
297,京都,京丹波町,きょうたんばまち
298,山形,白鷹町,しらたかまち
299,福岡,桂川町,かつらがわまち
300,香川,土庄町,とのしょうまち
301,長野,高森町,たかもりまち
302,群馬,東吾妻町,ひがしあがつままち
303,青森,板柳町,いたやなぎまち
304,広島,坂町,さかまち
305,長野,松川町,まつかわちょう
306,沖縄,本部町,ほんぶちょう
307,群馬,甘楽町,かんらまち
308,鹿児島,大崎町,おおさきまち
309,青森,野辺地町,のへじまち
310,岡山,早島町,はやしままち
311,高知,佐川町,さがわまち
312,福島,鏡石町,かがみいしまち
313,岩手,岩手町,いわてまち
314,宮城,丸森町,まるもりまち
315,宮城,南三陸町,みなみさんりくまち
316,福島,川俣町,かわまたまち
317,石川,宝達志水町,ほうだつしみずまち
318,北海道,浦河町,うらかわまち
319,青森,鶴田町,つるだまち
320,岡山,鏡野町,かがみのまち
321,宮城,山元町,やまもとまち
322,山口,平生町,ひらおまち
323,千葉,一宮町,いちのみやちょう
324,栃木,茂木町,もてぎまち
325,鹿児島,屋久島町,やくとうちょう
326,島根,奥出雲町,おくいずもまち
327,和歌山,みなべ町,みなべまち
328,滋賀,竜王町,りゅうおうちょう
329,北海道,岩内町,いわないまち
330,宮崎,高千穂町,たかちほまち
331,岩手,一戸町,いちこちょう
332,静岡,東伊豆町,ひがしいずまち
333,福島,桑折町,こおりまち
334,北海道,斜里町,しゃりまち
335,宮城,蔵王町,ざおうまち
336,徳島,上板町,かみいたまち
337,長野,山ノ内町,やまのうちまち
338,神奈川,箱根町,はこねまち
339,北海道,日高町,ひだかまち
340,北海道,栗山町,くりやままち
341,栃木,市貝町,いちかいまち
342,兵庫,市川町,いちかわまち
343,新潟,田上町,たがみまち
344,和歌山,湯浅町,ゆあさまち
345,熊本,氷川町,ひかわまち
346,富山,朝日町,あさひまち
347,埼玉,美里町,みさとまち
348,埼玉,越生町,おごせまち
349,三重,朝日町,あさひまち
350,岩手,大槌町,おおつちまち
351,三重,南伊勢町,みなみいせまち
352,岡山,里庄町,さとしょうまち
353,埼玉,小鹿野町,おがのまち
354,岡山,勝央町,しょうおうまち
355,岡山,吉備中央町,きびちゅうおうまち
356,群馬,明和町,めいわまち
357,群馬,千代田町,ちよだまち
358,神奈川,松田町,まつだまち
359,沖縄,金武町,きんまち
360,鳥取,岩美町,いわみまち
361,山形,中山町,なかやままち
362,鳥取,伯耆町,ほうきまち
363,宮城,村田町,むらたまち
364,山梨,身延町,みのぶまち
365,長野,小布施町,おぶせまち
366,兵庫,神河町,かみかわまち
367,長野,木曽町,きそまち
368,埼玉,ときがわ町,ときがわまち
369,青森,六戸町,ろくこちょう
370,栃木,塩谷町,しおやまち
371,北海道,上富良野町,かみふらのまち
372,福井,高浜町,たかはままち
373,鳥取,南部町,なんぶちょう
374,三重,紀宝町,きほうまち
375,千葉,白子町,しらこまち
376,長野,飯綱町,いいづなまち
377,北海道,長沼町,ながぬままち
378,熊本,錦町,にしきちょう
379,高知,黒潮町,くろしおまち
380,長野,佐久穂町,さくほまち
381,岐阜,八百津町,やおつまち
382,福岡,香春町,かわらまち
383,島根,邑南町,おおなんまち
384,鹿児島,徳之島町,とくのしままち
385,熊本,甲佐町,こうさまち
386,北海道,東神楽町,ひがしかぐらまち
387,青森,平内町,ひらないまち
388,福井,南越前町,みなみえちぜんまち
389,新潟,阿賀町,あがまち
390,宮崎,都農町,つのまち
391,岐阜,川辺町,かわべまち
392,神奈川,山北町,さんぽくまち
393,鹿児島,長島町,ながしままち
394,愛媛,鬼北町,きほくまち
395,北海道,美瑛町,びえいまち
396,青森,中泊町,なかどまりまち
397,岐阜,輪之内町,わのうちまち
398,佐賀,江北町,こうほくまち
399,熊本,嘉島町,かしままち
400,福島,小野町,おのちょう
401,熊本,美里町,みさとまち
402,長野,池田町,いけだまち
403,熊本,和水町,なごみまち
404,埼玉,皆野町,みなのまち
405,神奈川,中井町,なかいまち
406,佐賀,上峰町,かみみねまち
407,和歌山,日高川町,ひだかがわまち
408,福井,美浜町,みはままち
409,鹿児島,湧水町,ゆうすいちょう
410,北海道,清水町,しみずまち
411,青森,三戸町,さんこちょう
412,大阪,能勢町,のせまち
413,熊本,多良木町,たらぎまち
414,福岡,久山町,ひさやままち
415,青森,鰺ヶ沢町,あじがさわまち
416,長野,飯島町,いいじままち
417,新潟,津南町,つなんまち
418,熊本,南関町,なんかんまち
419,京都,宇治田原町,うじたわらまち
420,北海道,厚岸町,あっけしまち
421,千葉,大多喜町,おおたきまち
422,福岡,添田町,そえだまち
423,岩手,岩泉町,いわいずみまち
424,三重,大台町,おおだいまち
425,青森,大鰐町,おおわにまち
426,福島,国見町,くにみまち
427,宮崎,高原町,たかはらまち
428,鹿児島,瀬戸内町,せとうちまち
429,大分,九重町,くじゅうまち
430,秋田,五城目町,ごじょうめまち
431,香川,琴平町,ことひらまち
432,北海道,洞爺湖町,とうやこまち
433,大阪,田尻町,たじりまち
434,岩手,軽米町,かるまいまち
435,福岡,糸田町,いとだまち
436,愛媛,伊方町,いかたまち
437,徳島,海陽町,かいようまち
438,宮城,川崎町,かわさきまち
439,北海道,東川町,ひがしかわまち
440,福島,塙町,はなわまち
441,北海道,湧別町,ゆうべつまち
442,和歌山,紀美野町,きみのまち
443,広島,神石高原町,じんせきこうげんまち
444,茨城,河内町,かわちまち
445,奈良,川西町,かわにしまち
446,佐賀,太良町,たらまち
447,茨城,五霞町,ごかまち
448,山形,最上町,さいじょうちょう
449,三重,御浜町,みはままち
450,岐阜,坂祝町,さかほぎまち
451,埼玉,横瀬町,よこぜまち
452,福井,おおい町,おおいまち
453,福島,新地町,しんちまち
454,石川,穴水町,あなみずまち
455,静岡,南伊豆町,みなみいずまち
456,三重,度会町,わたらいまち
457,三重,大紀町,たいきまち
458,宮城,大郷町,おおさとまち
459,新潟,湯沢町,ゆざわまち
460,長野,信濃町,しなのまち
461,長崎,東彼杵町,ひがしそのぎまち
462,和歌山,印南町,いなみまち
463,徳島,つるぎ町,つるぎまち
464,和歌山,日高町,ひだかまち
465,北海道,むかわ町,むかわまち
466,山形,大江町,おおえまち
467,山形,三川町,みかわまち
468,北海道,枝幸町,えさしまち
469,鹿児島,中種子町,なかたねまち
470,北海道,江差町,えさしまち
471,岐阜,白川町,しらかわまち
472,京都,井手町,いでまち
473,愛媛,久万高原町,くまこうげんまち
474,北海道,せたな町,せたなまち
475,徳島,那賀町,ながまち
476,青森,深浦町,ふかうらまち
477,北海道,安平町,あびらまち
478,北海道,南幌町,なんぽろまち
479,北海道,白糠町,しらぬかまち
480,滋賀,多賀町,たがまち
481,岩手,平泉町,ひらいずみまち
482,福岡,上毛町,こうげまち
483,北海道,標茶町,しべちゃまち
484,奈良,安堵町,あんどちょう
485,山形,真室川町,まむろがわまち
486,千葉,長南町,ちょうなんまち
487,沖縄,久米島町,くめじままち
488,広島,大崎上島町,おおさきかみじままち
489,山梨,南部町,なんぶちょう
490,福岡,小竹町,こたけまち
491,滋賀,豊郷町,とよさとまち
492,熊本,苓北町,れいほくまち
493,山形,小国町,しょうこくちょう
494,東京,大島町,おおしままち
495,静岡,西伊豆町,にしいずまち
496,東京,八丈町,はちじょうまち
497,千葉,芝山町,しばやままち
498,千葉,鋸南町,きょなんまち
499,北海道,弟子屈町,てしかがまち
500,鹿児島,錦江町,きんこうまち
501,宮崎,綾町,あやまち
502,島根,津和野町,つわのまち
503,千葉,御宿町,おんじゅくまち
504,静岡,河津町,かわづまち
505,和歌山,美浜町,みはままち
506,埼玉,長瀞町,ながとろまち
507,和歌山,広川町,ひろかわまち
508,北海道,大空町,おおぞらまち
509,千葉,睦沢町,むつざわまち
510,奈良,高取町,たかとりまち
511,神奈川,真鶴町,まなづるまち
512,千葉,長柄町,ながらまち
513,宮城,色麻町,しかままち
514,鹿児島,喜界町,きかいまち
515,北海道,本別町,ほんべつまち
516,山形,飯豊町,いいでまち
517,長野,立科町,たてしなまち
518,岐阜,関ケ原町,せきがはらまち
519,熊本,小国町,しょうこくちょう
520,秋田,八峰町,はっぽうまち
521,山形,大石田町,おおいしだまち
522,群馬,下仁田町,しもにたまち
523,北海道,鷹栖町,たかすまち
524,北海道,足寄町,あしょろまち
525,北海道,羽幌町,はぼろまち
526,福岡,吉富町,よしとみまち
527,愛媛,上島町,かみじままち
528,北海道,新十津川町,しんとつかわまち
529,鹿児島,南大隅町,みなみおおすみまち
530,奈良,三宅町,みやけまち
531,宮城,女川町,おながわまち
532,鳥取,智頭町,ちずまち
533,北海道,広尾町,ひろおまち
534,山形,朝日町,あさひまち
535,滋賀,甲良町,こうらまち
536,北海道,当麻町,とうままち
537,北海道,池田町,いけだまち
538,佐賀,大町町,おおまちまち
539,北海道,松前町,まさきまち
540,鹿児島,和泊町,わどまりまち
541,鹿児島,東串良町,ひがしくしらまち
542,奈良,吉野町,よしのまち
543,徳島,美波町,みなみまち
544,静岡,川根本町,かわねほんまち
545,鹿児島,伊仙町,いせんまち
546,石川,川北町,かわきたまち
547,島根,吉賀町,よしかまち
548,鳥取,三朝町,みささまち
549,群馬,草津町,くさつまち
550,静岡,松崎町,まつざきまち
551,福島,浅川町,あさかわまち
552,山口,和木町,わきまち
553,三重,木曽岬町,きそさきまち
554,高知,中土佐町,なかとさまち
555,北海道,士幌町,しほろまち
556,北海道,新得町,しんとくまち
557,鹿児島,龍郷町,たつごうまち
558,千葉,神崎町,かんざきまち
559,熊本,高森町,たかもりまち
560,北海道,共和町,きょうわちょう
561,福島,西会津町,にしあいづまち
562,鹿児島,知名町,ちめいちょう
563,広島,安芸太田町,あきおおたまち
564,岩手,葛巻町,くずまきまち
565,岐阜,富加町,とみかまち
566,佐賀,玄海町,げんかいまち
567,長野,長和町,ながわまち
568,秋田,八郎潟町,はちろうがたまち
569,岡山,奈義町,なぎまち
570,鹿児島,天城町,あまぎまち
571,北海道,浜中町,はまなかまち
572,鹿児島,南種子町,みなみたねまち
573,北海道,大樹町,たいきまち
574,福島,広野町,ひろのまち
575,青森,外ヶ浜町,そとがはままち
576,福島,矢祭町,やまつりまち
577,和歌山,由良町,ゆらまち
578,北海道,新冠町,にいかっぷまち
579,高知,津野町,つのまち
580,北海道,鹿追町,しかおいまち
581,福島,下郷町,しもごうまち
582,高知,越知町,おちまち
583,岩手,西和賀町,にしわがまち
584,北海道,奈井江町,ないえまち
585,鹿児島,与論町,よろんまち
586,北海道,長万部町,おしゃまんべまち
587,群馬,長野原町,ながのはらまち
588,北海道,ニセコ町,にせこまち
589,北海道,今金町,いまかねまち
590,山形,金山町,かなやままち
591,岩手,住田町,すみたまち
592,熊本,玉東町,ぎょくとうまち
593,奈良,下市町,しもいちまち
594,北海道,標津町,しべつまち
595,福岡,大任町,おおとうまち
596,山形,舟形町,ふながたまち
597,青森,田子町,たごまち
598,山形,西川町,にしがわちょう
599,宮崎,木城町,きじょうまち
600,北海道,佐呂間町,さろままち
601,徳島,勝浦町,かつうらまち
602,高知,仁淀川町,によどがわまち
603,宮崎,美郷町,みさとまち
604,福島,古殿町,ふるどのまち
605,北海道,由仁町,ゆにまち
606,秋田,小坂町,こさかまち
607,北海道,上士幌町,かみしほろまち
608,北海道,平取町,びらとりまち
609,東京,奥多摩町,おくたままち
610,北海道,中富良野町,なかふらのまち
611,北海道,羅臼町,らうすまち
612,青森,大間町,おおままち
613,北海道,訓子府町,くんねっぷまち
614,徳島,神山町,かみやままち
615,北海道,小清水町,こしみずまち
616,島根,飯南町,いいなんまち
617,北海道,蘭越町,らんこしまち
618,秋田,井川町,いかわまち
619,岡山,久米南町,くめなんまち
620,愛知,設楽町,したらまち
621,高知,大月町,おおつきまち
622,北海道,厚真町,あつままち
623,北海道,浦幌町,うらほろまち
624,北海道,えりも町,えりもまち
625,北海道,津別町,つべつまち
626,島根,美郷町,みさとまち
627,長野,小海町,こうみまち
628,北海道,上ノ国町,かみのくにまち
629,長野,阿南町,あなんまち
630,熊本,津奈木町,つなぎまち
631,青森,横浜町,よこはままち
632,北海道,雄武町,おうむまち
633,鳥取,日南町,にちなんまち
634,北海道,知内町,しりうちまち
635,北海道,美深町,びふかまち
636,長野,上松町,あげまつまち
637,新潟,出雲崎町,いずもざきまち
638,福島,只見町,ただみまち
639,北海道,様似町,さまにまち
640,山梨,西桂町,にしかつらまち
641,北海道,豊富町,とよとみちょう
642,沖縄,竹富町,たけとみまち
643,長野,南木曽町,なぎそまち
644,北海道,増毛町,ましけまち
645,北海道,清里町,きよさとまち
646,和歌山,九度山町,くどやままち
647,北海道,木古内町,きこないまち
648,北海道,豊浦町,とようらまち
649,北海道,福島町,ふくしままち
650,北海道,鹿部町,しかべまち
651,高知,土佐町,とさまち
652,熊本,南小国町,みなみおぐにまち
653,徳島,牟岐町,むぎまち
654,福島,楢葉町,ならはまち
655,北海道,月形町,つきがたまち
656,和歌山,すさみ町,すさみまち
657,愛媛,松野町,まつのまち
658,宮崎,日之影町,ひのかげまち
659,北海道,興部町,おこっぺまち
660,熊本,湯前町,ゆのまえまち
661,北海道,厚沢部町,あっさぶまち
662,北海道,比布町,ぴっぷまち
663,北海道,上川町,かみかわまち
664,京都,和束町,わづかまち
665,宮崎,五ヶ瀬町,ごかせまち
666,北海道,浜頓別町,はまとんべつまち
667,北海道,乙部町,おとべまち
668,岐阜,七宗町,ひちそうまち
669,福島,磐梯町,ばんだいまち
670,高知,檮原町,ゆすはらまち
671,高知,本山町,もとやまちょう
672,高知,大豊町,たいほうまち
673,島根,川本町,かわもとまち
674,北海道,和寒町,わっさむまち
675,北海道,仁木町,にきまち
676,北海道,下川町,しもかわまち
677,香川,直島町,なおしままち
678,福島,柳津町,やないづまち
679,山口,阿武町,あぶまち
680,高知,奈半利町,なはりまち
681,北海道,豊頃町,とよころまち
682,北海道,小平町,こだいらまち
683,和歌山,高野町,たかのまち
684,北海道,天塩町,てしおまち
685,愛知,東栄町,とうえいまち
686,北海道,京極町,きょうごくまち
687,北海道,苫前町,とままえまち
688,北海道,剣淵町,けんぶちまち
689,北海道,沼田町,ぬまたまち
690,鳥取,日野町,ひのまち
691,秋田,藤里町,ふじさとまち
692,鳥取,若桜町,わかさまち
693,北海道,上砂川町,かみすながわまち
694,北海道,寿都町,すっつまち
695,北海道,黒松内町,くろまつないまち
696,和歌山,太地町,たいじまち
697,島根,西ノ島町,にしのしままち
698,北海道,置戸町,おけとまち
699,北海道,古平町,ふるびらまち
700,北海道,壮瞥町,そうべつまち
701,北海道,妹背牛町,もせうしまち
702,鳥取,江府町,こうふまち
703,北海道,愛別町,あいべつまち
704,北海道,遠別町,えんべつまち
705,北海道,礼文町,れぶんまち
706,高知,田野町,たのまち
707,和歌山,古座川町,こざがわまち
708,北海道,利尻富士町,りしりふじまち
709,福井,池田町,いけだまち
710,北海道,滝上町,たきのうえまち
711,北海道,奥尻町,おくしりまち
712,北海道,雨竜町,うりゅうまち
713,北海道,南富良野町,みなみふらのまち
714,北海道,幌延町,ほろのべまち
715,高知,安田町,やすだまち
716,山口,上関町,うえのせきまち
717,青森,今別町,いまべつまち
718,北海道,秩父別町,ちっぷべつまち
719,長崎,小値賀町,おぢかまち
720,島根,海士町,あままち
721,北海道,陸別町,りくべつまち
722,高知,東洋町,とうようちょう
723,北海道,喜茂別町,きもべつちょう
724,福島,富岡町,とみおかまち
725,北海道,利尻町,りしりまち
726,京都,伊根町,いねまち
727,福島,浪江町,なみえまち
728,福島,金山町,かなやままち
729,北海道,積丹町,しゃこたんまち
730,北海道,浦臼町,うらうすまち
731,北海道,北竜町,ほくりゅうまち
732,沖縄,与那国町,よなぐにまち
733,群馬,神流町,かんなまち
734,北海道,中頓別町,なかとんべつまち
735,北海道,中川町,なかがわまち
736,福島,三島町,みしままち
737,徳島,上勝町,かみかつまち
738,北海道,幌加内町,ほろかないまち
739,宮城,七ヶ宿町,しちかしゅくまち
740,京都,笠置町,かさぎまち
741,山梨,早川町,はやかわまち
742,福島,大熊町,おおくままち
743,福島,双葉町,ふたばまち
